Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,State
B-25720,30,-35,1,Furniture,Chairs,COD,Idaho
B-26057,659,-37,2,Furniture,Bookcases,Credit Card,New York
B-25798,448,148,2,Electronics,Printers,COD,Arkansas
B-25961,446,53,3,Electronics,Printers,COD,Kentucky
B-25701,98,-45,2,Furniture,Chairs,UPI,Hawaii
B-26055,443,11,1,Clothing,Saree,COD,Wyoming
B-25653,427,-50,7,Electronics,Phones,COD,Massachusetts
B-25670,656,-36,2,Furniture,Bookcases,Credit Card,Maryland
B-26056,424,161,2,Clothing,Saree,COD,Utah
B-26061,27,8,2,Clothing,T-shirt,Debit Card,California
B-25602,424,-272,5,Electronics,Phones,COD,Ohio
B-26016,202,4,4,Clothing,Hankerchief,COD,Kansas
B-25873,1275,357,2,Electronics,Phones,UPI,Maine
B-25761,418,70,7,Electronics,Phones,COD,West Virginia
B-25819,417,49,3,Electronics,Electronic Games,COD,Maine
B-25853,199,48,4,Clothing,Stole,UPI,Georgia
B-25662,385,-77,11,Furniture,Furnishings,UPI,Delaware
B-25993,414,199,3,Electronics,Phones,COD,New Mexico
B-25703,97,-45,4,Clothing,Saree,COD,Kansas
B-25848,648,50,6,Electronics,Electronic Games,Credit Card,Iowa
B-25678,27,-25,2,Clothing,Shirt,Debit Card,Alabama
B-25925,27,12,1,Clothing,Stole,Debit Card,New Jersey
B-25977,27,1,1,Clothing,Stole,UPI,Wyoming
B-25797,413,-314,9,Furniture,Chairs,COD,Kansas
B-26067,53,2,4,Clothing,Hankerchief,COD,Iowa
B-25810,29,8,5,Clothing,Hankerchief,UPI,Arizona
B-25648,30,13,1,Clothing,T-shirt,UPI,Virginia
B-25933,412,412,6,Clothing,Saree,COD,Hawaii
B-25942,646,-23,2,Electronics,Printers,Credit Card,Idaho
B-25656,30,-5,5,Clothing,Stole,UPI,Kansas
B-26067,618,27,4,Furniture,Bookcases,Credit Card,California
B-25673,143,-124,5,Clothing,Saree,UPI,Kentucky
B-25797,31,1,2,Clothing,Hankerchief,UPI,New York
B-26098,409,86,3,Clothing,Saree,COD,Iowa
B-25656,406,126,2,Clothing,Saree,COD,Alabama
B-25791,565,66,7,Clothing,Saree,Credit Card,South Dakota
B-26053,85,2,6,Clothing,Stole,COD,Delaware
B-25983,561,118,5,Furniture,Bookcases,Credit Card,Texas
B-25743,503,-56,2,Clothing,Trousers,COD,West Virginia
B-25867,31,14,3,Clothing,Stole,UPI,Alaska
B-25973,398,111,8,Clothing,Hankerchief,COD,Florida
B-25895,388,93,2,Furniture,Bookcases,COD,Rhode Island
B-26003,498,-116,4,Clothing,Saree,UPI,Arizona
B-25717,561,212,3,Clothing,Saree,Credit Card,Massachusetts
B-26064,61,3,4,Clothing,Hankerchief,COD,Alabama
B-25630,34,-22,4,Clothing,T-shirt,COD,New Hampshire
B-26050,32,6,3,Clothing,Shirt,UPI,North Carolina
B-25786,623,-192,3,Furniture,Tables,UPI,Minnesota
B-26035,520,151,3,Electronics,Phones,Credit Card,Michigan
B-25693,32,-16,6,Clothing,Saree,UPI,Michigan
B-25703,32,-5,5,Clothing,Hankerchief,UPI,Illinois
B-25966,510,234,6,Electronics,Electronic Games,EMI,Montana
B-26060,382,68,3,Clothing,Saree,COD,Vermont
B-25898,33,13,3,Clothing,Leggings,UPI,Mississippi
B-25686,381,-13,2,Clothing,Saree,COD,Connecticut
B-26051,490,88,2,Electronics,Accessories,EMI,New Jersey
B-25854,381,144,2,Clothing,Saree,COD,North Dakota
B-26050,487,143,4,Electronics,Phones,EMI,Delaware
B-25961,366,84,3,Furniture,Bookcases,COD,Missouri
B-25701,33,-29,3,Clothing,Shirt,UPI,Montana
B-25970,365,107,3,Electronics,Phones,COD,Pennsylvania
B-25933,207,-100,2,Clothing,Saree,UPI,Nebraska
B-26081,359,-338,5,Furniture,Bookcases,COD,North Carolina
B-25650,351,-47,8,Electronics,Phones,COD,South Carolina
B-25850,485,199,4,Clothing,Saree,EMI,South Carolina
B-25643,37,-23,4,Clothing,Shirt,UPI,Massachusetts
B-26100,34,10,2,Clothing,T-shirt,Debit Card,Idaho
B-25964,346,108,3,Furniture,Chairs,COD,Delaware
B-25676,342,-103,4,Electronics,Electronic Games,COD,Pennsylvania
B-25628,35,-8,2,Furniture,Furnishings,Debit Card,Hawaii
B-25891,121,41,4,Clothing,Stole,UPI,Nevada
B-25903,336,57,2,Electronics,Phones,COD,Ohio
B-25851,336,71,3,Furniture,Bookcases,COD,South Carolina
B-26089,27,4,1,Clothing,Hankerchief,COD,Pennsylvania
B-25996,333,50,2,Electronics,Phones,COD,Tennessee
B-25881,36,7,3,Clothing,Leggings,Debit Card,Iowa
B-25621,333,-15,3,Electronics,Phones,COD,Montana
B-25727,327,114,4,Clothing,Trousers,COD,Kansas
B-25843,18,6,3,Clothing,Hankerchief,UPI,Missouri
B-26050,325,32,7,Clothing,T-shirt,COD,Massachusetts
B-25741,482,-6,7,Electronics,Electronic Games,EMI,Maryland
B-25756,465,-33,4,Electronics,Phones,EMI,Maryland
B-25787,40,-12,3,Clothing,Shirt,COD,Utah
B-25603,107,36,6,Clothing,Stole,COD,New York
B-25655,312,-312,7,Furniture,Chairs,COD,Wisconsin
B-26096,451,25,3,Electronics,Phones,EMI,South Dakota
B-25962,312,62,1,Electronics,Electronic Games,COD,Kentucky
B-26007,311,72,2,Furniture,Bookcases,COD,Arkansas
B-26088,11,5,2,Clothing,Hankerchief,UPI,Utah
B-25673,37,-5,3,Clothing,T-shirt,Debit Card,Michigan
B-25664,444,-200,4,Electronics,Phones,EMI,Louisiana
B-25642,434,26,11,Clothing,Shirt,Credit Card,South Carolina
B-25987,299,0,6,Clothing,Stole,COD,Mississippi
B-25903,37,17,3,Clothing,Hankerchief,Debit Card,Kansas
B-25770,299,113,2,Furniture,Bookcases,COD,Delaware
B-25840,298,74,2,Furniture,Bookcases,COD,South Carolina
B-25846,94,7,7,Clothing,Leggings,UPI,North Carolina
B-25745,296,225,11,Clothing,Saree,COD,Montana
B-26073,37,17,3,Clothing,Hankerchief,Debit Card,New York
B-26030,291,93,2,Electronics,Printers,COD,Nevada
B-25678,327,-39,1,Electronics,Phones,COD,California
B-26035,291,119,11,Clothing,Saree,COD,Nebraska
B-25896,287,-66,6,Clothing,Kurti,COD,Arizona
B-25989,42,15,1,Electronics,Accessories,UPI,West Virginia
B-26016,429,61,3,Electronics,Electronic Games,Credit Card,South Dakota
B-26009,285,128,2,Electronics,Printers,COD,Oklahoma
B-25915,277,3,1,Electronics,Electronic Games,COD,Vermont
B-25845,274,-7,4,Electronics,Phones,COD,Arizona
B-25645,273,-87,4,Electronics,Phones,COD,Indiana
B-25803,269,91,1,Electronics,Electronic Games,COD,California
B-26030,11,5,1,Clothing,Skirt,COD,Michigan
B-25955,39,2,2,Clothing,Saree,Debit Card,Wyoming
B-26096,264,-26,3,Clothing,Trousers,COD,Alaska
B-25635,40,16,3,Clothing,Hankerchief,Debit Card,Alaska
B-26038,41,19,2,Clothing,T-shirt,Debit Card,Maine
B-25791,253,-63,2,Clothing,Saree,UPI,Utah
B-26014,406,97,7,Furniture,Chairs,Credit Card,New Jersey
B-25751,32,7,3,Clothing,Hankerchief,COD,Missouri
B-25962,260,68,2,Electronics,Printers,COD,Idaho
B-26025,41,19,5,Clothing,Hankerchief,Debit Card,Illinois
B-26048,401,13,6,Furniture,Chairs,Credit Card,Kansas
B-25635,382,30,3,Clothing,Saree,Credit Card,Missouri
B-25981,867,251,5,Electronics,Phones,COD,Florida
B-25610,43,0,3,Clothing,Saree,Debit Card,Pennsylvania
B-25733,43,-43,7,Clothing,Stole,Debit Card,Pennsylvania
B-25977,74,29,3,Clothing,Stole,COD,Mississippi
B-25655,44,-26,3,Clothing,Hankerchief,Debit Card,Ohio
B-25612,259,-55,2,Furniture,Chairs,COD,Mississippi
B-25608,257,23,5,Clothing,Hankerchief,COD,Iowa
B-25752,76,27,5,Clothing,Stole,COD,Illinois
B-25700,44,-32,3,Clothing,Stole,Debit Card,North Dakota
B-25856,257,3,2,Clothing,Saree,COD,Connecticut
B-26026,255,76,9,Clothing,Hankerchief,COD,South Carolina
B-25861,44,14,3,Clothing,Hankerchief,Debit Card,Minnesota
B-25673,45,-2,4,Clothing,Shirt,COD,Michigan
B-25681,44,-3,1,Clothing,Saree,Debit Card,Delaware
B-26051,382,119,2,Clothing,Saree,Credit Card,North Carolina
B-25951,250,100,3,Clothing,Trousers,COD,Alabama
B-25799,45,-15,2,Furniture,Chairs,COD,Florida
B-26053,246,61,2,Furniture,Bookcases,COD,New Hampshire
B-26030,50,25,5,Clothing,Stole,COD,South Dakota
B-26054,246,98,5,Clothing,Hankerchief,COD,Michigan
B-25696,44,99,3,Clothing,Kurti,Debit Card,Mississippi
B-25660,245,-78,3,Clothing,Saree,COD,South Carolina
B-25858,245,30,2,Clothing,Saree,COD,Nebraska
B-26045,376,0,7,Clothing,Stole,Credit Card,Florida
B-25850,45,1,3,Clothing,T-shirt,Debit Card,Massachusetts
B-25781,45,-28,2,Clothing,Stole,Debit Card,Utah
B-25918,244,-122,5,Furniture,Furnishings,COD,New York
B-25971,244,83,2,Furniture,Bookcases,COD,South Dakota
B-25870,10,4,1,Clothing,Kurti,UPI,North Carolina
B-25770,375,180,3,Furniture,Bookcases,Credit Card,Maine
B-25757,46,14,5,Clothing,Skirt,Debit Card,Maine
B-25699,49,-31,2,Clothing,Stole,UPI,Nebraska
B-25776,47,-20,2,Clothing,Kurti,Debit Card,Delaware
B-25893,355,-114,7,Clothing,Stole,Credit Card,Connecticut
B-25985,32,8,5,Clothing,Hankerchief,UPI,Louisiana
B-25681,243,-14,2,Furniture,Chairs,COD,Alaska
B-26063,241,-77,4,Electronics,Electronic Games,COD,Oregon
B-26032,47,15,5,Clothing,Saree,Debit Card,Wyoming
B-26001,50,-10,6,Clothing,Skirt,Debit Card,Arkansas
B-26056,15,6,2,Clothing,Hankerchief,COD,Arkansas
B-25850,148,24,3,Clothing,Stole,COD,Pennsylvania
B-25767,299,-28,3,Electronics,Electronic Games,UPI,Massachusetts
B-25693,68,-30,1,Electronics,Phones,UPI,Oregon
B-25850,52,18,5,Clothing,Leggings,Debit Card,Tennessee
B-25796,239,-162,5,Furniture,Chairs,COD,Nevada
B-26053,27,6,3,Clothing,Skirt,COD,Kansas
B-25650,238,20,2,Clothing,Saree,COD,Nevada
B-25961,48,16,3,Clothing,Shirt,COD,Virginia
B-26023,66,22,3,Clothing,Stole,UPI,Oklahoma
B-25809,53,24,1,Clothing,Hankerchief,Debit Card,Rhode Island
B-25621,233,-10,5,Electronics,Electronic Games,COD,Kentucky
B-25854,53,-2,3,Clothing,Saree,Debit Card,South Dakota
B-26057,54,8,4,Clothing,T-shirt,Debit Card,Massachusetts
B-25688,352,-345,5,Clothing,Saree,Credit Card,Alabama
B-25885,349,0,7,Clothing,Stole,Credit Card,Louisiana
B-25753,341,-85,6,Clothing,Trousers,Credit Card,New York
B-25981,54,12,3,Clothing,Saree,Debit Card,Rhode Island
B-26055,57,7,2,Clothing,Shirt,UPI,New Jersey
B-25714,340,20,7,Clothing,Shirt,Credit Card,South Carolina
B-26055,227,48,5,Clothing,Stole,COD,Maine
B-25989,330,81,1,Furniture,Bookcases,Credit Card,Maryland
B-25710,216,-38,6,Furniture,Furnishings,UPI,Maryland
B-25773,224,-143,3,Furniture,Chairs,COD,Hawaii
B-25661,55,-33,2,Furniture,Chairs,Debit Card,Michigan
B-26021,49,21,1,Clothing,Stole,UPI,Nevada
B-26057,224,87,3,Clothing,Trousers,COD,Arizona
B-25858,223,27,2,Furniture,Bookcases,COD,Pennsylvania
B-25857,324,39,8,Electronics,Accessories,Credit Card,Maine
B-25656,56,18,2,Clothing,Hankerchief,Debit Card,New Mexico
B-25999,223,62,7,Clothing,Shirt,COD,Texas
B-25856,10,2,2,Clothing,Skirt,COD,Iowa
B-25926,57,6,5,Clothing,Leggings,Debit Card,Utah
B-25728,322,-113,4,Clothing,Saree,Credit Card,Idaho
B-26076,219,4,2,Clothing,Saree,COD,Iowa
B-25913,103,21,7,Clothing,Stole,UPI,New Jersey
B-25703,47,-27,4,Clothing,Saree,COD,New Jersey
B-25858,219,0,1,Clothing,Saree,COD,Georgia
B-25727,57,-48,6,Clothing,Leggings,Debit Card,Missouri
B-26020,319,102,6,Electronics,Accessories,Credit Card,Ohio
B-26003,315,-8,3,Furniture,Chairs,Credit Card,Wyoming
B-25925,314,-41,3,Electronics,Electronic Games,Credit Card,Nevada
B-26087,311,40,1,Electronics,Electronic Games,EMI,California
B-25810,307,74,3,Electronics,Accessories,EMI,Utah
B-25858,294,109,7,Electronics,Accessories,EMI,Nevada
B-25861,216,-83,3,Electronics,Electronic Games,COD,North Carolina
B-25661,58,-42,2,Furniture,Chairs,Debit Card,Kentucky
B-25943,48,20,4,Clothing,Stole,UPI,Maine
B-25955,54,14,3,Clothing,T-shirt,UPI,Wyoming
B-26051,216,50,4,Clothing,Stole,COD,Montana
B-25999,215,-30,2,Clothing,Saree,COD,Maine
B-26083,43,8,3,Clothing,Leggings,COD,Wyoming
B-25950,136,-33,5,Clothing,Saree,COD,Pennsylvania
B-25625,59,-30,3,Clothing,Leggings,Debit Card,Tennessee
B-26055,213,4,14,Clothing,Shirt,COD,Illinois
B-26023,59,21,2,Clothing,Stole,Debit Card,Indiana
B-26010,55,3,3,Clothing,T-shirt,COD,Tennessee
B-25955,294,62,9,Clothing,T-shirt,EMI,Nevada
B-25900,210,62,2,Electronics,Phones,COD,North Dakota
B-26089,59,24,6,Clothing,Kurti,Debit Card,Kansas
B-25655,396,-31,9,Clothing,Saree,COD,Mississippi
B-25979,284,45,2,Furniture,Bookcases,EMI,Mississippi
B-26002,276,52,5,Clothing,Saree,EMI,Ohio
B-25635,23,2,2,Clothing,Skirt,UPI,Pennsylvania
B-26084,209,-63,4,Electronics,Electronic Games,COD,Vermont
B-25998,50,-28,5,Furniture,Furnishings,COD,Washington
B-25872,57,27,2,Clothing,Shirt,COD,Arizona
B-25795,276,-21,2,Electronics,Phones,EMI,Connecticut
B-25902,268,6,2,Furniture,Bookcases,UPI,Alabama
B-25650,269,111,3,Clothing,Trousers,EMI,Wisconsin
B-25957,209,2,1,Clothing,Saree,COD,Illinois
B-25793,60,-12,4,Clothing,Hankerchief,Debit Card,Louisiana
B-25654,269,-86,2,Electronics,Electronic Games,EMI,Georgia
B-25750,208,-25,2,Clothing,Saree,COD,Texas
